*preferred label[0]_en,definition[0]_en,*uri,*status,has broader[0],has narrower[0]
Strings (Deprecated),,http://rdaregistry.info/termList/StandCombInstr/1001,Deprecated,,http://rdaregistry.info/termList/StandCombInstr/1005
Woodwinds (Deprecated),,http://rdaregistry.info/termList/StandCombInstr/1002,Deprecated,,http://rdaregistry.info/termList/StandCombInstr/1007
Winds (Deprecated),,http://rdaregistry.info/termList/StandCombInstr/1003,Deprecated,,http://rdaregistry.info/termList/StandCombInstr/1008
Piano strings (Deprecated),,http://rdaregistry.info/termList/StandCombInstr/1004,Deprecated,,http://rdaregistry.info/termList/StandCombInstr/1010
String trio (Deprecated),"Violin, viola, violoncello. (Deprecated)",http://rdaregistry.info/termList/StandCombInstr/1005,Deprecated,http://rdaregistry.info/termList/StandCombInstr/1001,
String quartet (Deprecated),"Two violins, viola, violoncello. (Deprecated)",http://rdaregistry.info/termList/StandCombInstr/1006,Deprecated,,
Woodwind quartet (Deprecated),"Flute, oboe, clarinet, bassoon. (Deprecated)",http://rdaregistry.info/termList/StandCombInstr/1007,Deprecated,,
Wind quintet (Deprecated),"Flute, oboe, clarinet, horn, bassoon. (Deprecated)",http://rdaregistry.info/termList/StandCombInstr/1008,Deprecated,http://rdaregistry.info/termList/StandCombInstr/1003,
Piano trio (Deprecated),"Piano, violin, violoncello. (Deprecated)",http://rdaregistry.info/termList/StandCombInstr/1009,Deprecated,http://rdaregistry.info/termList/StandCombInstr/1004,
Piano quartet (Deprecated),"Piano, violin, viola, violoncello. (Deprecated)",http://rdaregistry.info/termList/StandCombInstr/1010,Deprecated,http://rdaregistry.info/termList/StandCombInstr/1004,
Piano quintet (Deprecated),"Piano, 2 violins, viola, violoncello. (Deprecated)",http://rdaregistry.info/termList/StandCombInstr/1011,Deprecated,http://rdaregistry.info/termList/StandCombInstr/1004,
