*preferred label[0]_en,definition[0]_en,*uri,*status
coin (Deprecated),,http://rdaregistry.info/termList/extentThreeDim/1001,Deprecated
diorama (Deprecated),"A three-dimensional representation of a scene created by placing objects, figures, etc., in front of a two-dimensional painted background. (Deprecated)",http://rdaregistry.info/termList/extentThreeDim/1002,Deprecated
exhibit (Deprecated),,http://rdaregistry.info/termList/extentThreeDim/1003,Deprecated
game (Deprecated),A resource designed for play according to prescribed or implicit rules and intended for recreation or instruction. (Deprecated),http://rdaregistry.info/termList/extentThreeDim/1004,Deprecated
jigsaw puzzle (Deprecated),,http://rdaregistry.info/termList/extentThreeDim/1005,Deprecated
medal (Deprecated),,http://rdaregistry.info/termList/extentThreeDim/1006,Deprecated
mock-up (Deprecated),A representation of a device or process that may be modified for training or analysis to emphasize a particular part or function; it usually has movable parts that can be manipulated. (Deprecated),http://rdaregistry.info/termList/extentThreeDim/1007,Deprecated
model (Deprecated),A three-dimensional representation of a real or imagined object. (Deprecated),http://rdaregistry.info/termList/extentThreeDim/1008,Deprecated
sculpture (Deprecated),,http://rdaregistry.info/termList/extentThreeDim/1009,Deprecated
specimen (Deprecated),,http://rdaregistry.info/termList/extentThreeDim/1010,Deprecated
toy (Deprecated),An object designed for imaginative play or one from which to derive amusement. (Deprecated),http://rdaregistry.info/termList/extentThreeDim/1011,Deprecated
