*preferred label[0]_en,alternative label[0]_en,notation[0]_en,ToolkitLabel_en,definition[0]_en,ToolkitDefinition_en,*uri,*status,related to[0]
correspondence,,1001,correspondence,A conventional collective title for compilations of all correspondence of an agent.,A conventional collective title for compilations of all correspondence of an agent.,rdacct:1001,Published,
essays,,1002,essays,A conventional collective title for compilations of all essays by a person.,A conventional collective title for compilations of all essays by an agent.,rdacct:1002,Published,
novels,,1003,novels,A conventional collective title for compilations of all novels by an agent.,A conventional collective title for compilations of all novels by an agent.,rdacct:1003,Published,
plays,,1004,plays,A conventional collective title for compilations of all plays by an agent.,A conventional collective title for compilations of all plays by an agent.,rdacct:1004,Published,
poems,,1005,poems,A conventional collective title for compilations of all poems by an agent.,A conventional collective title for compilations of all poems by an agent.,rdacct:1005,Published,
prose works,,1006,prose works,A conventional collective title for compilations of all prose works by an agent.,A conventional collective title for compilations of all prose works by an agent.,rdacct:1006,Published,
short stories,,1007,short stories,A conventional collective title for compilations of all short stories by an agent.,A conventional collective title for compilations of all short stories by an agent.,rdacct:1007,Published,
speeches,,1008,speeches,A conventional collective title for compilations of all speeches by an agent.,A conventional collective title for compilations of all speeches by an agent.,rdacct:1008,Published,
librettos,,1010,librettos,A conventional collective title for compilations of all librettos by an agent.,A conventional collective title for compilations of all librettos by an agent.,rdacct:1010,Published,rdacct:1011
lyrics,,1011,lyrics,A conventional collective title for compilations of all lyrics by an agent.,A conventional collective title for compilations of all lyrics by an agent.,rdacct:1011,Published,rdacct:1010
